Company Common Name,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,Total Assets,Stock,Date
,19.1714548194282,0.0,25.0016740804515,27.6804352653787,7717800000,LNW.OQ,2018-12-31
,27.3517331814304,14.3574297188755,33.4832674517271,29.8493048922848,7809000000,LNW.OQ,2019-12-31
,32.0363560902582,14.492353049567,32.2555076743651,47.4972314507198,7984000000,LNW.OQ,2020-12-31
,30.5098815541845,12.7826941986234,30.8633409156665,45.9341611319665,7883000000,LNW.OQ,2021-12-31
,38.0606646794196,19.7149396587599,34.2064212322031,60.353182368838,6009000000,LNW.OQ,2022-12-31
,47.0577267333051,39.2032148679493,43.7212286395883,59.1315345527006,,LNW.OQ,2023-12-31
,,,,,1884410000,UTHR.OQ,2014-12-31
,27.951899423138,0.0,63.0975009503992,14.5649509803922,2184445000,UTHR.OQ,2015-12-31
,28.5722918474089,0.0,65.8595942154112,13.6476109215017,2325600000,UTHR.OQ,2016-12-31
,35.7970030527068,1.83333333333333,66.4523340633792,30.5090368336765,2879400000,UTHR.OQ,2017-12-31
,29.5731627417641,0.0,63.877509366845,18.0335332000888,3401000000,UTHR.OQ,2018-12-31
,52.4940774460326,36.0326086956522,80.5168445465437,37.9365354769316,3913400000,UTHR.OQ,2019-12-31
,65.3823027663234,35.9477611940299,83.3329064555562,68.6503360087738,4615000000,UTHR.OQ,2020-12-31
,68.1655531145553,37.3273092369478,78.3167677532226,79.4754979177302,5169100000,UTHR.OQ,2021-12-31
,67.7609268473744,36.120025673941,77.583205170543,79.9056740463322,6044500000,UTHR.OQ,2022-12-31
,72.5057593825381,36.2588235294118,89.9819363331227,80.747644285201,,UTHR.OQ,2023-12-31
,,,,,27050237000,SNV.N,2014-12-31
,30.8128384346032,18.2821118991332,26.4712705631231,49.1196895424837,28792653000,SNV.N,2015-12-31
,36.5123967009033,21.1527035056447,28.1919673659905,62.5810580204778,30104002000,SNV.N,2016-12-31
,29.9253329070404,22.1579961464354,29.4786708846584,42.5108670784718,31221837000,SNV.N,2017-12-31
,39.6855203970173,21.5868794326241,33.7363345349376,63.7563846324673,32669192000,SNV.N,2018-12-31
,41.0100225885834,20.6444855630561,33.7639556072084,67.2535286002335,48203282000,SNV.N,2019-12-31
,49.9289504482355,49.656698345092,54.8433466341003,55.7283801469848,54394159000,SNV.N,2020-12-31
,52.5706330597455,53.2200522717458,63.4772644991814,48.4156319183752,57317226000,SNV.N,2021-12-31
,51.7774973055743,52.4757391438302,59.6574224685712,50.7361848849129,59731378000,SNV.N,2022-12-31
,61.667734255372,47.4052170503485,60.6641451068519,77.6717669957583,,SNV.N,2023-12-31
,,,,,1156400000,AVTR.N,2014-12-31
,,,,,1150400000,AVTR.N,2015-12-31
,,,,,1135800000,AVTR.N,2016-12-31
,,,,,10446500000,AVTR.N,2017-12-31
,25.1019898789836,0.0,46.0582438458343,9.2238507661559,9911600000,AVTR.N,2018-12-31
,34.0158533692201,23.0189732142857,52.5804046976749,14.7044048590576,9773300000,AVTR.N,2019-12-31
,48.2785140670691,38.5260395548948,57.2903430343051,40.9640940325565,9906500000,AVTR.N,2020-12-31
,60.7757936676302,39.1572357990269,55.7099306779692,77.5345069426989,13897200000,AVTR.N,2021-12-31
,63.7992985718321,39.8842363620014,52.8500485847681,89.3761734193877,13464300000,AVTR.N,2022-12-31
,,,,,,RBC.N,2014-12-31
,,,,,632073000,RBC.N,2015-03-28
,,,,,1098510000,RBC.N,2016-04-02
,12.2964126788766,0.0,12.4255295051722,26.8828213879409,,RBC.N,2016-04-02
,11.7503549484258,0.0,8.92683144210078,29.5527339281629,1108847000,RBC.N,2017-04-01
,10.9304370195759,0.0,8.8231075631905,26.8099045081057,1142751000,RBC.N,2018-03-31
,14.2114273721148,0.0,13.0217017865323,32.8250026530829,1147367000,RBC.N,2019-03-30
,26.12751347152,28.9793130202906,25.4297070899476,23.620255713279,1321912000,RBC.N,2020-03-28
,34.1054170241878,29.9541582655097,23.0890128696368,53.5306574261238,1434260000,RBC.N,2021-04-03
,28.5883922592059,32.03360650748,24.2352385712606,30.1118255521387,4845417000,RBC.N,2022-04-02
,,,,,4690400000,RBC.N,2023-04-01
,,,,,16723738000,MUR.N,2014-12-31
,36.2962395297793,16.5478038528002,25.4391658013153,84.6223933384429,11493812000,MUR.N,2015-12-31
,38.0103628424167,17.0947414553428,28.6025241632718,85.4639198546003,10295860000,MUR.N,2016-12-31
,39.2813454943853,19.9251668655381,29.4712842930359,85.1650166257683,9860942000,MUR.N,2017-12-31
,40.8674307181643,20.8626774839646,32.2727100851652,85.5349872571725,11052587000,MUR.N,2018-12-31
,49.1631731369971,36.5664511321571,37.2738895446901,88.8409211503767,11718504000,MUR.N,2019-12-31
,55.3136344961881,48.9231140874951,41.2535749056159,89.7601706987921,10620852000,MUR.N,2020-12-31
,57.6791902875716,48.5768500948767,54.3856529251457,76.9027641998507,10304940000,MUR.N,2021-12-31
,56.970512266445,53.4609981462171,49.004075035595,76.3246127044622,10308952000,MUR.N,2022-12-31
,63.465258588983,61.1100333494561,50.3914553097969,90.2345381215049,,MUR.N,2023-12-31
,61.2731328875556,32.7272727272727,77.0340184266477,49.9373899505819,6721983000,MAT.OQ,2014-12-31
,54.9751267020859,22.5524475524476,65.4482214572576,52.3756613122991,6535143000,MAT.OQ,2015-12-31
,57.9682628258373,31.1229946524064,73.8743834755468,45.8080609239973,6493794000,MAT.OQ,2016-12-31
