ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,Total Assets,Stock,Date
53.5292545005346,34.4191919191919,39.0533638044756,80.4553546264766,3112936000,OPCH.OQ,2022-12-31
,,,,2862700000,MORN.OQ,2021-12-31
61.5454212556433,38.9242937614452,57.6566541085429,82.3491907450993,3474800000,MORN.OQ,2022-12-31
72.253234932432,52.5319041799043,72.5783311183907,85.5745902250968,,MORN.OQ,2023-12-31
48.8783157095162,49.2414302115795,59.7919102229411,34.3392961658772,17799393000,BIO.N,2021-12-31
52.0748539537894,50.1482419901719,68.9163169560457,30.7993465838403,13501666000,BIO.N,2022-12-31
63.4286837680459,75.70158298841,36.5630533149715,74.3341432696744,76764064000,NLY.N,2021-12-31
64.8639537075532,73.3455972847461,47.1259711706362,71.6226975827113,81850712000,NLY.N,2022-12-31
3.10045288111439,1.16978609625669,6.04201999061813,0.686302820290692,3034021000,VNOM.OQ,2021-12-31
11.2397666386535,0.987060384870604,25.6103548978291,0.649520082005405,2920373000,VNOM.OQ,2022-12-31
42.0337543865651,48.5960075803826,52.3417186248712,17.150909560779,892620000,ALGM.OQ,2022-03-25
52.53498135586,62.1548621412957,66.4520321240475,18.0279906458278,1181155000,ALGM.OQ,2023-03-31
,,,,6422300000,ALE.N,2021-12-31
60.283859141647,54.3898495118766,48.110144236489,86.1295048889618,6845600000,ALE.N,2022-12-31
59.340586240717,59.0841018204727,43.6315684721507,80.1983328542685,,ALE.N,2023-12-31
,,,,4975269000,G.N,2021-12-31
81.2113464437419,70.5725661978355,77.1973933408003,93.647750152175,4588814000,G.N,2022-12-31
80.3488637921719,70.034042945406,76.908625648545,91.8252380952381,,G.N,2023-12-31
46.9732304635138,61.7264604993801,49.4287063611993,26.5021607341706,,POST.N,2021-09-30
49.504606297797,61.844101761985,49.2710403075958,36.3347114147041,11308000000,POST.N,2022-09-30
,,,,11646700000,POST.N,2023-09-30
,,,,10962433000,AMH.N,2021-12-31
67.5356884613146,55.6865115831019,80.6752028751282,69.0231840640379,12175059000,AMH.N,2022-12-31
63.3050171166193,44.9091589336024,76.5722928665052,72.3103538760796,,AMH.N,2023-12-31
55.7882576411973,32.1616321361949,59.706763655267,79.0026114731976,4486600000,CXT.N,2021-12-31
54.3817635867527,30.5663617236604,58.852646072368,77.0984221191012,2129400000,CXT.N,2022-12-31
,,,,13834323000,R.N,2021-12-31
71.2640424277514,63.3497991798674,76.3212773440374,74.1867289340407,14395000000,R.N,2022-12-31
65.895912825913,59.5812798685783,66.1487559257856,73.0644752403709,,R.N,2023-12-31
66.5211162103066,79.998029271507,76.6418612031778,48.5373874654051,,WSM.N,2021-01-31
